strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Analytic,age_category5,4.9,4.9,5,Grouped,"[65,70)","4.9 (4.9, 5)",1691115,status
Analytic,age_category5,3.3,3.2,3.3,Grouped,"[70,75)","3.3 (3.2, 3.3)",1691115,status
Analytic,age_category5,1.6,1.6,1.7,Grouped,"[75,80)","1.6 (1.6, 1.7)",1691115,status
Analytic,age_category5,1,1,1,Grouped,"[80,85)","1 (1, 1)",1691115,status
Analytic,age_category5,0.5,0.5,0.5,Grouped,"[85,90)","0.5 (0.5, 0.5)",1691115,status
Analytic,age_category5,0.2,0.2,0.2,Grouped,"[90,95)","0.2 (0.2, 0.2)",1691115,status
Analytic,age_category5,0.1,0.1,0.1,Grouped,"[95,100]","0.1 (0.1, 0.1)",1691115,status
Excluded,age_category5,6.3,6.2,6.5,Grouped,"[15,20)","6.3 (6.2, 6.5)",204188,status
Excluded,age_category5,14.8,14.6,15.1,Grouped,"[20,25)","14.8 (14.6, 15.1)",204188,status
Excluded,age_category5,13.9,13.7,14.2,Grouped,"[25,30)","13.9 (13.7, 14.2)",204188,status
Excluded,age_category5,11.3,11.1,11.5,Grouped,"[30,35)","11.3 (11.1, 11.5)",204188,status
Excluded,age_category5,10.2,10,10.4,Grouped,"[35,40)","10.2 (10, 10.4)",204188,status
Excluded,age_category5,8.4,8.2,8.5,Grouped,"[40,45)","8.4 (8.2, 8.5)",204188,status
Excluded,age_category5,8.2,8,8.4,Grouped,"[45,50)","8.2 (8, 8.4)",204188,status
Excluded,age_category5,6.6,6.5,6.8,Grouped,"[50,55)","6.6 (6.5, 6.8)",204188,status
Excluded,age_category5,5.9,5.8,6.1,Grouped,"[55,60)","5.9 (5.8, 6.1)",204188,status
Excluded,age_category5,5.3,5.1,5.4,Grouped,"[60,65)","5.3 (5.1, 5.4)",204188,status
Excluded,age_category5,3.6,3.5,3.8,Grouped,"[65,70)","3.6 (3.5, 3.8)",204188,status
Excluded,age_category5,2.4,2.3,2.5,Grouped,"[70,75)","2.4 (2.3, 2.5)",204188,status
Excluded,age_category5,1.3,1.2,1.4,Grouped,"[75,80)","1.3 (1.2, 1.4)",204188,status
Excluded,age_category5,0.9,0.8,1,Grouped,"[80,85)","0.9 (0.8, 1)",204188,status
Excluded,age_category5,0.4,0.4,0.4,Grouped,"[85,90)","0.4 (0.4, 0.4)",204188,status
Excluded,age_category5,0.2,0.2,0.2,Grouped,"[90,95)","0.2 (0.2, 0.2)",204188,status
Excluded,age_category5,0.2,0.1,0.2,Grouped,"[95,100]","0.2 (0.1, 0.2)",204188,status
Analytic,education,14.2,13.9,14.4,Grouped,Higher,"14.2 (13.9, 14.4)",1691115,status
Analytic,education,28.6,28.4,28.9,Grouped,No education,"28.6 (28.4, 28.9)",1691115,status
Analytic,education,14.8,14.7,14.9,Grouped,Primary,"14.8 (14.7, 14.9)",1691115,status
Analytic,education,42.4,42.2,42.6,Grouped,Secondary,"42.4 (42.2, 42.6)",1691115,status
Excluded,education,21.5,20.9,22.2,Grouped,Higher,"21.5 (20.9, 22.2)",204188,status
Excluded,education,22,21.6,22.5,Grouped,No education,"22 (21.6, 22.5)",204188,status
Excluded,education,11.7,11.4,12,Grouped,Primary,"11.7 (11.4, 12)",204188,status
Excluded,education,44.8,44.3,45.2,Grouped,Secondary,"44.8 (44.3, 45.2)",204188,status
Analytic,caste,26.6,26.2,27,Grouped,General,"26.6 (26.2, 27)",1691115,status
Analytic,caste,42,41.6,42.4,Grouped,OBC,"42 (41.6, 42.4)",1691115,status
Analytic,caste,21.6,21.3,22,Grouped,Schedule Caste,"21.6 (21.3, 22)",1691115,status
Analytic,caste,9.7,9.5,10,Grouped,Schedule Tribe,"9.7 (9.5, 10)",1691115,status
Excluded,caste,31.4,30.5,32.4,Grouped,General,"31.4 (30.5, 32.4)",204188,status
Excluded,caste,41,40.2,41.8,Grouped,OBC,"41 (40.2, 41.8)",204188,status
Excluded,caste,20.2,19.6,20.8,Grouped,Schedule Caste,"20.2 (19.6, 20.8)",204188,status
Excluded,caste,7.3,7,7.7,Grouped,Schedule Tribe,"7.3 (7, 7.7)",204188,status
Analytic,religion,83,82.6,83.4,Grouped,Hindu,"83 (82.6, 83.4)",1691115,status
Analytic,religion,11.6,11.2,12,Grouped,Muslim,"11.6 (11.2, 12)",1691115,status
Analytic,religion,5.4,5.2,5.5,Grouped,Other,"5.4 (5.2, 5.5)",1691115,status
Excluded,religion,78.7,77.8,79.5,Grouped,Hindu,"78.7 (77.8, 79.5)",204188,status
Excluded,religion,14.8,14,15.6,Grouped,Muslim,"14.8 (14, 15.6)",204188,status
Excluded,religion,6.5,6,7,Grouped,Other,"6.5 (6, 7)",204188,status
Analytic,wealthq_ur,18.6,18.3,19,Grouped,1,"18.6 (18.3, 19)",1691115,status
Analytic,wealthq_ur,19.7,19.5,19.9,Grouped,2,"19.7 (19.5, 19.9)",1691115,status
Analytic,wealthq_ur,20.4,20.2,20.7,Grouped,3,"20.4 (20.2, 20.7)",1691115,status
Analytic,wealthq_ur,20.8,20.6,21,Grouped,4,"20.8 (20.6, 21)",1691115,status
Analytic,wealthq_ur,20.4,20.1,20.7,Grouped,5,"20.4 (20.1, 20.7)",1691115,status
Excluded,wealthq_ur,16.3,15.7,16.8,Grouped,1,"16.3 (15.7, 16.8)",204188,status
Excluded,wealthq_ur,17.6,17.1,18.1,Grouped,2,"17.6 (17.1, 18.1)",204188,status
Excluded,wealthq_ur,18.5,18.1,18.9,Grouped,3,"18.5 (18.1, 18.9)",204188,status
Excluded,wealthq_ur,20.9,20.4,21.4,Grouped,4,"20.9 (20.4, 21.4)",204188,status
Excluded,wealthq_ur,26.8,25.9,27.7,Grouped,5,"26.8 (25.9, 27.7)",204188,status
Analytic,bmi_category,6.5,6.4,6.6,Grouped,Underweight,"6.5 (6.4, 6.6)",697652,status
Analytic,bmi_category,24.7,24.6,24.9,Grouped,Normal,"24.7 (24.6, 24.9)",697652,status
Analytic,bmi_category,8.1,8,8.1,Grouped,Overweight,"8.1 (8, 8.1)",697652,status
Analytic,bmi_category,2.7,2.7,2.8,Grouped,Obese,"2.7 (2.7, 2.8)",697652,status
Analytic,bmi_category,58,57.8,58.1,Grouped,NA,"58 (57.8, 58.1)",697652,status
Excluded,bmi_category,0.2,0.2,0.2,Grouped,Underweight,"0.2 (0.2, 0.2)",2085,status
Excluded,bmi_category,0.6,0.5,0.6,Grouped,Normal,"0.6 (0.5, 0.6)",2085,status
Excluded,bmi_category,0.2,0.2,0.2,Grouped,Overweight,"0.2 (0.2, 0.2)",2085,status
Excluded,bmi_category,0.1,0.1,0.1,Grouped,Obese,"0.1 (0.1, 0.1)",2085,status
Excluded,bmi_category,99,98.9,99.1,Grouped,NA,"99 (98.9, 99.1)",2085,status
