strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Analytic,bmi,22.7,22.7,22.8,Continuous,NA,"22.7 (22.7, 22.8)",697652,status
Analytic,age,42.2,42.1,42.2,Continuous,NA,"42.2 (42.1, 42.2)",1691115,status
Excluded,bmi,22.7,22.4,23,Continuous,NA,"22.7 (22.4, 23)",2085,status
Excluded,age,39.2,39.1,39.4,Continuous,NA,"39.2 (39.1, 39.4)",204188,status
Analytic,highwc,40.2,39.9,40.5,Proportion,NA,"40.2 (39.9, 40.5)",698203,status
Analytic,htn,28.6,28.4,28.7,Proportion,NA,"28.6 (28.4, 28.7)",1691115,status
Analytic,highbp,23,22.8,23.1,Proportion,NA,"23 (22.8, 23.1)",1691115,status
Analytic,diaghtn,49.9,49.4,50.4,Proportion,NA,"49.9 (49.4, 50.4)",179328,status
Analytic,htn_screened,64.1,63.8,64.5,Proportion,NA,"64.1 (63.8, 64.5)",1691115,status
Analytic,htn_disease,28.6,28.4,28.7,Proportion,NA,"28.6 (28.4, 28.7)",1691115,status
Analytic,htn_diagnosed,11.1,11,11.3,Proportion,NA,"11.1 (11, 11.3)",1691115,status
Analytic,htn_treated,6.5,6.5,6.6,Proportion,NA,"6.5 (6.5, 6.6)",1691115,status
Analytic,htn_controlled,2.7,2.7,2.8,Proportion,NA,"2.7 (2.7, 2.8)",1691115,status
Excluded,highwc,41,37.9,44.1,Proportion,NA,"41 (37.9, 44.1)",1894,status
Excluded,htn_screened,0,0,0,Proportion,NA,"0 (0, 0)",204188,status
Analytic,residence,69.3,68.5,70.1,Grouped,Rural,"69.3 (68.5, 70.1)",1691115,status
Analytic,residence,30.7,29.9,31.5,Grouped,Urban,"30.7 (29.9, 31.5)",1691115,status
Excluded,residence,57.9,56.5,59.3,Grouped,Rural,"57.9 (56.5, 59.3)",204188,status
Excluded,residence,42.1,40.7,43.5,Grouped,Urban,"42.1 (40.7, 43.5)",204188,status
Analytic,sex,55.1,55,55.2,Grouped,Female,"55.1 (55, 55.2)",1691115,status
Analytic,sex,44.9,44.8,45,Grouped,Male,"44.9 (44.8, 45)",1691115,status
Excluded,sex,37.4,37,37.7,Grouped,Female,"37.4 (37, 37.7)",204188,status
Excluded,sex,62.6,62.3,63,Grouped,Male,"62.6 (62.3, 63)",204188,status
Analytic,age_category,48.7,48.5,48.8,Grouped,18-39,"48.7 (48.5, 48.8)",1691115,status
Analytic,age_category,39.7,39.6,39.8,Grouped,40-64,"39.7 (39.6, 39.8)",1691115,status
Analytic,age_category,11.7,11.6,11.7,Grouped,65 plus,"11.7 (11.6, 11.7)",1691115,status
Excluded,age_category,56.7,56.3,57,Grouped,18-39,"56.7 (56.3, 57)",204188,status
Excluded,age_category,34.4,34.1,34.7,Grouped,40-64,"34.4 (34.1, 34.7)",204188,status
Excluded,age_category,9,8.7,9.2,Grouped,65 plus,"9 (8.7, 9.2)",204188,status
Analytic,age_category10,27.8,27.6,27.9,Grouped,"[18,30)","27.8 (27.6, 27.9)",1691115,status
Analytic,age_category10,20.9,20.8,21,Grouped,"[30,40)","20.9 (20.8, 21)",1691115,status
Analytic,age_category10,18.2,18.1,18.3,Grouped,"[40,50)","18.2 (18.1, 18.3)",1691115,status
Analytic,age_category10,14.6,14.5,14.7,Grouped,"[50,60)","14.6 (14.5, 14.7)",1691115,status
Analytic,age_category10,11.8,11.7,11.9,Grouped,"[60,70)","11.8 (11.7, 11.9)",1691115,status
Analytic,age_category10,4.9,4.9,5,Grouped,"[70,80)","4.9 (4.9, 5)",1691115,status
Analytic,age_category10,1.8,1.8,1.8,Grouped,"[80,100]","1.8 (1.8, 1.8)",1691115,status
Excluded,age_category10,35.1,34.7,35.5,Grouped,"[18,30)","35.1 (34.7, 35.5)",204188,status
Excluded,age_category10,21.6,21.2,21.9,Grouped,"[30,40)","21.6 (21.2, 21.9)",204188,status
Excluded,age_category10,16.6,16.3,16.8,Grouped,"[40,50)","16.6 (16.3, 16.8)",204188,status
Excluded,age_category10,12.6,12.3,12.8,Grouped,"[50,60)","12.6 (12.3, 12.8)",204188,status
Excluded,age_category10,8.9,8.7,9.1,Grouped,"[60,70)","8.9 (8.7, 9.1)",204188,status
Excluded,age_category10,3.7,3.5,3.8,Grouped,"[70,80)","3.7 (3.5, 3.8)",204188,status
Excluded,age_category10,1.7,1.6,1.8,Grouped,"[80,100]","1.7 (1.6, 1.8)",204188,status
Analytic,age_category5,5,5,5.1,Grouped,"[15,20)","5 (5, 5.1)",1691115,status
Analytic,age_category5,11.3,11.2,11.4,Grouped,"[20,25)","11.3 (11.2, 11.4)",1691115,status
Analytic,age_category5,11.4,11.3,11.5,Grouped,"[25,30)","11.4 (11.3, 11.5)",1691115,status
Analytic,age_category5,10.5,10.4,10.5,Grouped,"[30,35)","10.5 (10.4, 10.5)",1691115,status
Analytic,age_category5,10.4,10.4,10.5,Grouped,"[35,40)","10.4 (10.4, 10.5)",1691115,status
Analytic,age_category5,8.9,8.9,9,Grouped,"[40,45)","8.9 (8.9, 9)",1691115,status
Analytic,age_category5,9.3,9.3,9.4,Grouped,"[45,50)","9.3 (9.3, 9.4)",1691115,status
Analytic,age_category5,7.4,7.3,7.5,Grouped,"[50,55)","7.4 (7.3, 7.5)",1691115,status
Analytic,age_category5,7.2,7.2,7.3,Grouped,"[55,60)","7.2 (7.2, 7.3)",1691115,status
Analytic,age_category5,6.8,6.8,6.9,Grouped,"[60,65)","6.8 (6.8, 6.9)",1691115,status
