REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
21,htn_undiagnosed,35.3,27.5,43,Proportion,"35.3 (27.5, 43)",680,,NA,Jammu & Kashmir,1,Jammu
22,htn_unscreened,13.9,8.3,19.6,Proportion,"13.9 (8.3, 19.6)",766,,NA,Jammu & Kashmir,1,Samba
22,htn_undiagnosed,43.9,34.1,53.6,Proportion,"43.9 (34.1, 53.6)",766,,NA,Jammu & Kashmir,1,Samba
23,htn_unscreened,18.7,13.3,24,Proportion,"18.7 (13.3, 24)",616,,NA,Himachal Pradesh,2,Chamba
23,htn_undiagnosed,59.3,52.1,66.5,Proportion,"59.3 (52.1, 66.5)",616,,NA,Himachal Pradesh,2,Chamba
24,htn_unscreened,14.9,10.7,19,Proportion,"14.9 (10.7, 19)",673,,NA,Himachal Pradesh,2,Kangra
24,htn_undiagnosed,51.4,44.5,58.2,Proportion,"51.4 (44.5, 58.2)",673,,NA,Himachal Pradesh,2,Kangra
25,htn_unscreened,15.9,10.1,21.7,Proportion,"15.9 (10.1, 21.7)",435,,NA,Himachal Pradesh,2,Lahul & Spiti
25,htn_undiagnosed,55.6,49.7,61.4,Proportion,"55.6 (49.7, 61.4)",435,,NA,Himachal Pradesh,2,Lahul & Spiti
26,htn_unscreened,15.4,10.4,20.4,Proportion,"15.4 (10.4, 20.4)",571,,NA,Himachal Pradesh,2,Kullu
26,htn_undiagnosed,46.6,36.8,56.5,Proportion,"46.6 (36.8, 56.5)",571,,NA,Himachal Pradesh,2,Kullu
27,htn_unscreened,10.4,7.8,13,Proportion,"10.4 (7.8, 13)",617,,NA,Himachal Pradesh,2,Mandi
27,htn_undiagnosed,48.6,43.4,53.9,Proportion,"48.6 (43.4, 53.9)",617,,NA,Himachal Pradesh,2,Mandi
28,htn_unscreened,10.3,8,12.7,Proportion,"10.3 (8, 12.7)",770,,NA,Himachal Pradesh,2,Hamirpur
28,htn_undiagnosed,40.9,36.4,45.3,Proportion,"40.9 (36.4, 45.3)",770,,NA,Himachal Pradesh,2,Hamirpur
29,htn_unscreened,13.7,11,16.4,Proportion,"13.7 (11, 16.4)",742,,NA,Himachal Pradesh,2,Una
29,htn_undiagnosed,39.1,33.1,45.1,Proportion,"39.1 (33.1, 45.1)",742,,NA,Himachal Pradesh,2,Una
30,htn_unscreened,12.6,9.5,15.8,Proportion,"12.6 (9.5, 15.8)",665,,NA,Himachal Pradesh,2,Bilaspur
30,htn_undiagnosed,46.1,40.7,51.4,Proportion,"46.1 (40.7, 51.4)",665,,NA,Himachal Pradesh,2,Bilaspur
31,htn_unscreened,13.6,10.2,17,Proportion,"13.6 (10.2, 17)",560,,NA,Himachal Pradesh,2,Solan
31,htn_undiagnosed,61,55.9,66.1,Proportion,"61 (55.9, 66.1)",560,,NA,Himachal Pradesh,2,Solan
32,htn_unscreened,12.1,9.5,14.7,Proportion,"12.1 (9.5, 14.7)",743,,NA,Himachal Pradesh,2,Sirmaur
32,htn_undiagnosed,54.4,47.2,61.5,Proportion,"54.4 (47.2, 61.5)",743,,NA,Himachal Pradesh,2,Sirmaur
33,htn_unscreened,10,7.8,12.2,Proportion,"10 (7.8, 12.2)",591,,NA,Himachal Pradesh,2,Shimla
33,htn_undiagnosed,55.5,49.3,61.8,Proportion,"55.5 (49.3, 61.8)",591,,NA,Himachal Pradesh,2,Shimla
34,htn_unscreened,10.6,8,13.1,Proportion,"10.6 (8, 13.1)",568,,NA,Himachal Pradesh,2,Kinnaur
34,htn_undiagnosed,58,52.8,63.2,Proportion,"58 (52.8, 63.2)",568,,NA,Himachal Pradesh,2,Kinnaur
36,htn_unscreened,6,4,8.1,Proportion,"6 (4, 8.1)",1079,,NA,Punjab,3,Kapurthala
36,htn_undiagnosed,48.2,41.5,54.9,Proportion,"48.2 (41.5, 54.9)",1079,,NA,Punjab,3,Kapurthala
37,htn_unscreened,8.6,5.7,11.4,Proportion,"8.6 (5.7, 11.4)",840,,NA,Punjab,3,Jalandhar
37,htn_undiagnosed,56.9,50.7,63,Proportion,"56.9 (50.7, 63)",840,,NA,Punjab,3,Jalandhar
38,htn_unscreened,9.7,6.5,12.9,Proportion,"9.7 (6.5, 12.9)",1198,,NA,Punjab,3,Hoshiarpur
38,htn_undiagnosed,66.5,61.2,71.8,Proportion,"66.5 (61.2, 71.8)",1198,,NA,Punjab,3,Hoshiarpur
39,htn_unscreened,8.1,5.8,10.5,Proportion,"8.1 (5.8, 10.5)",1257,,NA,Punjab,3,Shahid Bhagat Singh Nagar
39,htn_undiagnosed,64.2,57.5,71,Proportion,"64.2 (57.5, 71)",1257,,NA,Punjab,3,Shahid Bhagat Singh Nagar
40,htn_unscreened,7.5,5.3,9.7,Proportion,"7.5 (5.3, 9.7)",865,,NA,Punjab,3,Fatehgarh Sahib
40,htn_undiagnosed,50.2,44.6,55.7,Proportion,"50.2 (44.6, 55.7)",865,,NA,Punjab,3,Fatehgarh Sahib
41,htn_unscreened,3.8,2.3,5.3,Proportion,"3.8 (2.3, 5.3)",704,,NA,Punjab,3,Ludhiana
41,htn_undiagnosed,47.6,41.6,53.5,Proportion,"47.6 (41.6, 53.5)",704,,NA,Punjab,3,Ludhiana
42,htn_unscreened,11.3,8.2,14.3,Proportion,"11.3 (8.2, 14.3)",1142,,NA,Punjab,3,Moga
42,htn_undiagnosed,53.3,47.1,59.5,Proportion,"53.3 (47.1, 59.5)",1142,,NA,Punjab,3,Moga
44,htn_unscreened,11.8,7.9,15.8,Proportion,"11.8 (7.9, 15.8)",999,,NA,Punjab,3,Muktsar
44,htn_undiagnosed,45.6,39.2,52,Proportion,"45.6 (39.2, 52)",999,,NA,Punjab,3,Muktsar
45,htn_unscreened,15.1,11.6,18.5,Proportion,"15.1 (11.6, 18.5)",1123,,NA,Punjab,3,Faridkot
45,htn_undiagnosed,39.2,34.4,43.9,Proportion,"39.2 (34.4, 43.9)",1123,,NA,Punjab,3,Faridkot
46,htn_unscreened,15,11.7,18.2,Proportion,"15 (11.7, 18.2)",1137,,NA,Punjab,3,Bathinda
46,htn_undiagnosed,39.9,33.3,46.5,Proportion,"39.9 (33.3, 46.5)",1137,,NA,Punjab,3,Bathinda
47,htn_unscreened,30.6,25.7,35.4,Proportion,"30.6 (25.7, 35.4)",1117,,NA,Punjab,3,Mansa
47,htn_undiagnosed,62.6,57.2,68.1,Proportion,"62.6 (57.2, 68.1)",1117,,NA,Punjab,3,Mansa
48,htn_unscreened,4.8,3.1,6.5,Proportion,"4.8 (3.1, 6.5)",785,,NA,Punjab,3,Patiala
48,htn_undiagnosed,47.8,41.8,53.9,Proportion,"47.8 (41.8, 53.9)",785,,NA,Punjab,3,Patiala
49,htn_unscreened,14.4,9,19.8,Proportion,"14.4 (9, 19.8)",1053,,NA,Punjab,3,Amritsar
49,htn_undiagnosed,64.4,57.2,71.6,Proportion,"64.4 (57.2, 71.6)",1053,,NA,Punjab,3,Amritsar
50,htn_unscreened,4.7,2.1,7.3,Proportion,"4.7 (2.1, 7.3)",985,,NA,Punjab,3,Tarn Taran
50,htn_undiagnosed,51.2,45.3,57.1,Proportion,"51.2 (45.3, 57.1)",985,,NA,Punjab,3,Tarn Taran
51,htn_unscreened,4.3,2.4,6.1,Proportion,"4.3 (2.4, 6.1)",773,,NA,Punjab,3,Rupnagar
51,htn_undiagnosed,46.2,42.2,50.3,Proportion,"46.2 (42.2, 50.3)",773,,NA,Punjab,3,Rupnagar
52,htn_unscreened,7,4.2,9.7,Proportion,"7 (4.2, 9.7)",734,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
52,htn_undiagnosed,47.4,41.8,53,Proportion,"47.4 (41.8, 53)",734,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
