strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Analytic,age_category5,4.8,4.7,4.8,Grouped,"[65,70)","4.8 (4.7, 4.8)",1691109,status
Analytic,age_category5,3.2,3.1,3.2,Grouped,"[70,75)","3.2 (3.1, 3.2)",1691109,status
Analytic,age_category5,1.6,1.6,1.6,Grouped,"[75,80)","1.6 (1.6, 1.6)",1691109,status
Analytic,age_category5,1,1,1,Grouped,"[80,85)","1 (1, 1)",1691109,status
Analytic,age_category5,0.5,0.4,0.5,Grouped,"[85,90)","0.5 (0.4, 0.5)",1691109,status
Analytic,age_category5,0.2,0.2,0.2,Grouped,"[90,95)","0.2 (0.2, 0.2)",1691109,status
Analytic,age_category5,0.1,0.1,0.1,Grouped,"[95,100]","0.1 (0.1, 0.1)",1691109,status
Excluded,age_category5,6.4,6.3,6.6,Grouped,"[15,20)","6.4 (6.3, 6.6)",204188,status
Excluded,age_category5,15.2,15,15.5,Grouped,"[20,25)","15.2 (15, 15.5)",204188,status
Excluded,age_category5,14.3,14,14.5,Grouped,"[25,30)","14.3 (14, 14.5)",204188,status
Excluded,age_category5,11.4,11.2,11.7,Grouped,"[30,35)","11.4 (11.2, 11.7)",204188,status
Excluded,age_category5,10.2,10,10.4,Grouped,"[35,40)","10.2 (10, 10.4)",204188,status
Excluded,age_category5,8.3,8.1,8.5,Grouped,"[40,45)","8.3 (8.1, 8.5)",204188,status
Excluded,age_category5,8.1,7.9,8.3,Grouped,"[45,50)","8.1 (7.9, 8.3)",204188,status
Excluded,age_category5,6.6,6.4,6.7,Grouped,"[50,55)","6.6 (6.4, 6.7)",204188,status
Excluded,age_category5,5.8,5.6,5.9,Grouped,"[55,60)","5.8 (5.6, 5.9)",204188,status
Excluded,age_category5,5.1,4.9,5.2,Grouped,"[60,65)","5.1 (4.9, 5.2)",204188,status
Excluded,age_category5,3.5,3.4,3.6,Grouped,"[65,70)","3.5 (3.4, 3.6)",204188,status
Excluded,age_category5,2.3,2.2,2.4,Grouped,"[70,75)","2.3 (2.2, 2.4)",204188,status
Excluded,age_category5,1.2,1.2,1.3,Grouped,"[75,80)","1.2 (1.2, 1.3)",204188,status
Excluded,age_category5,0.9,0.8,0.9,Grouped,"[80,85)","0.9 (0.8, 0.9)",204188,status
Excluded,age_category5,0.4,0.3,0.4,Grouped,"[85,90)","0.4 (0.3, 0.4)",204188,status
Excluded,age_category5,0.2,0.2,0.2,Grouped,"[90,95)","0.2 (0.2, 0.2)",204188,status
Excluded,age_category5,0.2,0.1,0.2,Grouped,"[95,100]","0.2 (0.1, 0.2)",204188,status
Analytic,education,15,14.8,15.3,Grouped,Higher,"15 (14.8, 15.3)",1691109,status
Analytic,education,27.9,27.6,28.1,Grouped,No education,"27.9 (27.6, 28.1)",1691109,status
Analytic,education,14.4,14.3,14.5,Grouped,Primary,"14.4 (14.3, 14.5)",1691109,status
Analytic,education,42.7,42.5,42.9,Grouped,Secondary,"42.7 (42.5, 42.9)",1691109,status
Excluded,education,22.6,21.9,23.2,Grouped,Higher,"22.6 (21.9, 23.2)",204188,status
Excluded,education,21.2,20.8,21.7,Grouped,No education,"21.2 (20.8, 21.7)",204188,status
Excluded,education,11.4,11.1,11.6,Grouped,Primary,"11.4 (11.1, 11.6)",204188,status
Excluded,education,44.8,44.4,45.3,Grouped,Secondary,"44.8 (44.4, 45.3)",204188,status
Analytic,caste,27.2,26.8,27.6,Grouped,General,"27.2 (26.8, 27.6)",1691109,status
Analytic,caste,41.9,41.5,42.3,Grouped,OBC,"41.9 (41.5, 42.3)",1691109,status
Analytic,caste,21.5,21.1,21.8,Grouped,Schedule Caste,"21.5 (21.1, 21.8)",1691109,status
Analytic,caste,9.5,9.2,9.7,Grouped,Schedule Tribe,"9.5 (9.2, 9.7)",1691109,status
Excluded,caste,32.3,31.4,33.2,Grouped,General,"32.3 (31.4, 33.2)",204188,status
Excluded,caste,40.7,39.9,41.5,Grouped,OBC,"40.7 (39.9, 41.5)",204188,status
Excluded,caste,20,19.4,20.6,Grouped,Schedule Caste,"20 (19.4, 20.6)",204188,status
Excluded,caste,7,6.7,7.4,Grouped,Schedule Tribe,"7 (6.7, 7.4)",204188,status
Analytic,religion,82.5,82.1,82.9,Grouped,Hindu,"82.5 (82.1, 82.9)",1691109,status
Analytic,religion,12,11.6,12.4,Grouped,Muslim,"12 (11.6, 12.4)",1691109,status
Analytic,religion,5.5,5.3,5.7,Grouped,Other,"5.5 (5.3, 5.7)",1691109,status
Excluded,religion,77.9,77,78.8,Grouped,Hindu,"77.9 (77, 78.8)",204188,status
Excluded,religion,15.4,14.6,16.2,Grouped,Muslim,"15.4 (14.6, 16.2)",204188,status
Excluded,religion,6.7,6.3,7.2,Grouped,Other,"6.7 (6.3, 7.2)",204188,status
Analytic,wealthq_ur,18.3,18,18.6,Grouped,1,"18.3 (18, 18.6)",1691109,status
Analytic,wealthq_ur,19.5,19.2,19.7,Grouped,2,"19.5 (19.2, 19.7)",1691109,status
Analytic,wealthq_ur,20.4,20.1,20.6,Grouped,3,"20.4 (20.1, 20.6)",1691109,status
Analytic,wealthq_ur,20.9,20.7,21.1,Grouped,4,"20.9 (20.7, 21.1)",1691109,status
Analytic,wealthq_ur,21,20.7,21.3,Grouped,5,"21 (20.7, 21.3)",1691109,status
Excluded,wealthq_ur,15.8,15.3,16.3,Grouped,1,"15.8 (15.3, 16.3)",204188,status
Excluded,wealthq_ur,17.3,16.8,17.8,Grouped,2,"17.3 (16.8, 17.8)",204188,status
Excluded,wealthq_ur,18.4,17.9,18.8,Grouped,3,"18.4 (17.9, 18.8)",204188,status
Excluded,wealthq_ur,21,20.5,21.5,Grouped,4,"21 (20.5, 21.5)",204188,status
Excluded,wealthq_ur,27.6,26.7,28.5,Grouped,5,"27.6 (26.7, 28.5)",204188,status
Analytic,bmi_category,6.4,6.3,6.4,Grouped,Underweight,"6.4 (6.3, 6.4)",697651,status
Analytic,bmi_category,24.3,24.1,24.4,Grouped,Normal,"24.3 (24.1, 24.4)",697651,status
Analytic,bmi_category,7.9,7.9,8,Grouped,Overweight,"7.9 (7.9, 8)",697651,status
Analytic,bmi_category,2.7,2.7,2.8,Grouped,Obese,"2.7 (2.7, 2.8)",697651,status
Analytic,bmi_category,58.7,58.6,58.9,Grouped,NA,"58.7 (58.6, 58.9)",697651,status
Excluded,bmi_category,0.2,0.1,0.2,Grouped,Underweight,"0.2 (0.1, 0.2)",2085,status
Excluded,bmi_category,0.6,0.5,0.6,Grouped,Normal,"0.6 (0.5, 0.6)",2085,status
Excluded,bmi_category,0.2,0.1,0.2,Grouped,Overweight,"0.2 (0.1, 0.2)",2085,status
Excluded,bmi_category,0.1,0.1,0.1,Grouped,Obese,"0.1 (0.1, 0.1)",2085,status
Excluded,bmi_category,99,99,99.1,Grouped,NA,"99 (99, 99.1)",2085,status
