stratification,strata,Rural_htn_screened,Rural_htn_disease,Rural_htn_diagnosed,Rural_htn_treated,Rural_htn_controlled,Total_htn_screened,Total_htn_disease,Total_htn_diagnosed,Total_htn_treated,Total_htn_controlled,Urban_htn_screened,Urban_htn_disease,Urban_htn_diagnosed,Urban_htn_treated,Urban_htn_controlled
caste,Schedule Caste,"60.7 (60.1, 61.3)","25.9 (25.5, 26.3)","34.7 (33.8, 35.6)","37 (35.7, 38.3)","53.2 (51, 55.3)","63.9 (63.3, 64.4)","27.8 (27.4, 28.1)","35.6 (34.9, 36.4)","41.6 (40.5, 42.7)","51.2 (49.4, 52.9)","71.3 (70.2, 72.5)","32.2 (31.4, 33)","37.9 (36.4, 39.4)","52.4 (50, 54.8)","47.4 (44.5, 50.4)"
caste,Schedule Tribe,"49.3 (48.5, 50.1)","25.2 (24.8, 25.7)","22.1 (21.2, 23.1)","38.3 (36.3, 40.3)","51.8 (49.1, 54.4)","51.7 (50.9, 52.5)","26.6 (26.2, 27.1)","24.2 (23.3, 25.1)","42.1 (40.1, 44.1)","51.6 (48.6, 54.6)","65.2 (62.8, 67.6)","34.5 (32.9, 36.1)","35.3 (32.4, 38.2)","56.6 (51.2, 62.1)","51.2 (42, 60.3)"
religion,Hindu,"59.6 (59.2, 60)","25.5 (25.3, 25.8)","34.3 (33.7, 34.9)","38.1 (37.3, 39)","54.9 (53.7, 56.1)","64 (63.7, 64.4)","27.7 (27.5, 27.9)","35.9 (35.4, 36.5)","44 (43.3, 44.7)","53.3 (52.3, 54.3)","73.5 (72.8, 74.2)","32.6 (32.1, 33)","39.5 (38.6, 40.5)","56.1 (54.5, 57.6)","50.8 (49.1, 52.6)"
religion,Muslim,"64.2 (63.3, 65.1)","25.6 (25.1, 26.2)","41.6 (40.2, 43.1)","42.9 (40.9, 44.9)","51.9 (49.2, 54.6)","67 (66.2, 67.8)","28.4 (27.9, 28.9)","40.9 (39.7, 42.1)","48.6 (47, 50.1)","50.2 (48.1, 52.2)","70.9 (69.5, 72.4)","32.1 (31.3, 33)","39.9 (38, 41.8)","57.2 (54.1, 60.4)","48 (44.8, 51.2)"
religion,Other,"68.5 (67.5, 69.4)","31.5 (30.8, 32.1)","39.6 (38.2, 41.1)","39.8 (37.6, 41.9)","47 (43.3, 50.6)","72.1 (71.3, 72.9)","32.6 (32.1, 33.2)","41.3 (40.1, 42.5)","45.3 (43.6, 46.9)","48.5 (45.7, 51.3)","78.8 (77.3, 80.2)","34.8 (33.7, 35.9)","44.8 (42.8, 46.9)","56.3 (53.1, 59.5)","50.7 (46.4, 55)"
wealthq_ur,1,"48.8 (48.2, 49.4)","23.6 (23.2, 23.9)","30.4 (29.4, 31.4)","32.2 (30.6, 33.7)","58.4 (55.7, 61)","54.3 (53.7, 54.8)","25.4 (25.1, 25.8)","32 (31.1, 32.9)","37.2 (36, 38.4)","54.7 (52.6, 56.7)","64.7 (63.5, 65.8)","29 (28.3, 29.8)","34.9 (33.1, 36.6)","45.1 (42.5, 47.7)","49.9 (46.8, 53.1)"
wealthq_ur,2,"55.9 (55.4, 56.5)","23.9 (23.6, 24.2)","34.5 (33.6, 35.5)","34 (32.7, 35.3)","55.2 (53, 57.5)","61.1 (60.7, 61.6)","26.7 (26.4, 27)","35.9 (35.1, 36.6)","41.9 (40.9, 42.9)","51.5 (49.7, 53.3)","71.1 (70.2, 72)","32 (31.3, 32.6)","38.2 (36.9, 39.5)","55.3 (53.2, 57.5)","47.3 (44.5, 50)"
wealthq_ur,3,"60.6 (60, 61.1)","25.1 (24.8, 25.5)","35.4 (34.4, 36.3)","36.5 (35.2, 37.8)","53.8 (51.5, 56.2)","65 (64.6, 65.5)","27.9 (27.6, 28.2)","36.8 (36.1, 37.5)","44.5 (43.4, 45.5)","52.3 (50.5, 54.1)","74 (73.1, 74.9)","33.3 (32.6, 33.9)","39.7 (38.5, 40.9)","59.6 (57.6, 61.7)","50.4 (47.5, 53.2)"
wealthq_ur,4,"64.8 (64.2, 65.3)","26.6 (26.3, 27)","35.2 (34.3, 36.1)","41.4 (40, 42.7)","54.1 (52, 56.2)","68.6 (68.1, 69.1)","29 (28.7, 29.3)","37.3 (36.5, 38)","47.2 (46.2, 48.3)","53.2 (51.5, 54.9)","76.5 (75.5, 77.5)","33.9 (33.2, 34.6)","41.7 (40.4, 43)","59.3 (57.2, 61.4)","51.7 (48.7, 54.7)"
wealthq_ur,5,"70.4 (69.8, 70.9)","29.4 (29.1, 29.8)","39.2 (38.3, 40.1)","43.8 (42.4, 45.1)","52 (50.1, 53.9)","73.5 (73, 74)","31.1 (30.7, 31.4)","40.7 (39.9, 41.4)","48.1 (47, 49.2)","51.9 (50.2, 53.5)","80.4 (79.4, 81.5)","34.8 (34, 35.5)","44.3 (42.8, 45.8)","58.7 (56.3, 61)","51.7 (48.4, 55)"
