variable,estimate,lci,uci,type,est_ci
htn_controlled,52.5,51.7,53.4,Proportion,"52.5 (51.7, 53.4)"
htn_uncontrolled,47.5,46.6,48.3,Proportion,"47.5 (46.6, 48.3)"
